mic1,mic2,mic3,mic4
-42,98,-48,-2
-90,96,-16,0
-140,90,-138,-50
-136,84,-82,-84
-170,80,-70,18
-120,72,-148,16
-100,100,-154,46
-112,78,-126,42
-52,64,-86,8
-56,102,-60,-22
-70,82,-4,28
-76,88,12,-46
-62,102,-30,44
-132,96,-62,-26
-116,122,-116,-78
-136,126,-84,12
-148,136,-88,18
-56,144,-106,-46
-74,92,-68,30
-34,22,-110,110
-22,32,-60,66
-34,20,-68,50
-34,42,-40,66
-112,94,-76,-18
-148,92,-60,16
-188,156,-48,-4
-144,158,-80,60
-170,178,-90,-8
-100,152,-104,-40
-68,154,-40,54
-34,88,-58,14
-26,50,-96,70
-10,22,-86,28
-68,50,-104,66
-106,4,-106,32
-86,80,-106,14
-96,168,-106,-26
-142,98,-94,-14
-110,190,-28,114
-92,186,-16,70
-92,182,-38,42
-66,124,6,96
-52,108,-52,72
-60,56,-70,48
-82,42,-104,46
-58,-2,-110,10
-84,36,-126,-14
-42,66,-112,-30
-58,68,-92,96
-78,136,-70,84
-66,162,-24,120
-44,176,-32,90
-64,188,8,72
-104,132,-24,46
-56,122,-22,16
-94,104,-34,60
-70,68,-94,24
-46,50,-88,90
-40,56,-80,24
-38,62,-100,38
-48,94,-78,146
-46,140,-54,66
-122,110,-62,120
-90,158,-68,68
-86,142,-38,74
-62,122,-50,98
-32,146,-60,108
-62,114,-50,44
-84,98,-72,-14
-108,86,-66,74
-60,78,-80,32
-82,76,-68,120
-48,84,-54,102
-54,112,-74,102
-64,120,-72,94
-60,84,-64,78
-46,112,-42,64
-88,134,-46,80
-74,114,-60,150
-80,148,-68,82
-104,116,-62,60
-90,130,-74,122
-74,106,-38,104
-64,76,-56,182
-46,78,-96,42
-54,106,-78,72
-80,60,-66,150
-94,68,-64,38
-76,84,-60,46
-88,104,-44,108
-92,128,-86,164
-88,160,-54,72
-70,130,-70,74
-106,106,-58,84
-98,92,-76,162
-82,104,-56,130
-88,146,-76,50
-94,74,-50,60
-100,62,-78,152
-60,72,-40,108
-74,76,-64,108
-76,136,-80,118
-106,100,-56,146
-122,130,-58,116
-100,146,-72,114
-104,116,-42,100
-100,92,-48,126
-104,98,-94,146
-64,94,-48,108
-80,72,-72,126
-112,86,-74,106
-64,112,-56,106
-50,116,-72,52
-84,98,-70,94
-84,110,-70,112
-82,92,-88,146
-102,80,-68,6
-122,86,-110,64
-138,34,-116,140
-164,120,-68,110
-112,40,-58,76
-136,70,-112,106
-136,104,-46,26
-120,92,-82,170
-32,144,-22,106
-36,110,-82,84
